Type_Chamber,Type_Bill,Type_Number,Congress,Date,Title,Chamber,Sponsor,Party,State,District,Date_Intro,Cosponsors,Committees,Date_Last,Last_Action
H,B, 6312,116,2019,COVID-19 Relief for Small Businesses Act of 2020,House,"Velazquez, Nydia M. ",D,NY,7,3/19/20,2,House - Small Business,3/19/20,Referred to the House Committee on Small Business.
H,Res, 907,116,2019,"Expressing the sense of the House of Representatives that the Government of the People's Republic of China made multiple, serious mistakes in the early stages of the COVID-19 outbreak that heightened the severity and spread of the ongoing COVID-19 pandemic, which include the Chinese Government's intentional spread of misinformation to downplay the risks of the virus, a refusal to cooperate with international health authorities, internal censorship of doctors and journalists, and malicious disregard for the health of ethnic minorities.",House,"Banks, Jim ",R,IN,3,3/24/20,54,House - Foreign Affairs,4/3/20,"Referred to the Subcommittee on Asia, the Pacific and Nonproliferation."
H,Res, 933,116,2019,Recognizing COVID-19 frontline workers.,House,"Slotkin, Elissa ",D,MI,8,4/21/20,26,House - Energy and Commerce,4/21/20,Referred to the House Committee on Energy and Commerce.
H,B, 6311,116,2019,Care for COVID-19 Act,House,"Ruiz, Raul ",D,CA,36,3/19/20,1,"House - Energy and Commerce, Ways and Means, Education and Labor",3/19/20,"Referred to the Committee on Energy and Commerce, and in addition to the Committees on Ways and Means, and Education and Labor, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned."
H,B, 6609,116,2019,Immediate COVID Testing Procurement Act,House,"Panetta, Jimmy ",D,CA,20,4/23/20,35,House - Financial Services,4/23/20,Referred to the House Committee on Financial Services.
H,B, 6623,116,2019,COVID-19 Language Access Act,House,"Meng, Grace ",D,NY,6,4/24/20,42,House - Oversight and Reform,4/28/20,Sponsor introductory remarks on measure.
H,B, 6203,116,2019,COVID-19 Child Nutrition Response Act,House,"Bonamici, Suzanne ",D,OR,1,3/11/20,11,House - Education and Labor,3/11/20,Referred to the House Committee on Education and Labor.
H,B, 6594,116,2019,Equal Access to COVID-19 Relief Act,House,"Titus, Dina ",D,NV,1,4/21/20,7,House - Small Business,4/21/20,Referred to the House Committee on Small Business.
H,B, 6616,116,2019,Stronger Medicaid Response to the COVID-19 Pandemic Act,House,"Cardenas, Tony ",D,CA,29,4/24/20,1,House - Energy and Commerce,4/24/20,Referred to the House Committee on Energy and Commerce.
H,B, 6343,116,2019,Small Business COVID-19 Recovery Grants Act of 2020,House,"Espaillat, Adriano ",D,NY,13,3/23/20,3,House - Small Business,3/23/20,Referred to the House Committee on Small Business.
H,B, 6292,116,2019,COVID-19 Small Business Recovery Grants Act,House,"Jackson Lee, Sheila ",D,TX,18,3/19/20,4,"House - Small Business, Transportation and Infrastructure",3/20/20,"Referred to the Subcommittee on Economic Development, Public Buildings, and Emergency Management."
H,B, 6640,116,2019,Medicare Advantage COVID Treatment Act,House,"Mucarsel-Powell, Debbie ",D,FL,26,4/28/20,1,"House - Ways and Means, Energy and Commerce",4/28/20,"Referred to the Committee on Ways and Means, and in addition to the Committee on Energy and Commerce, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned."
H,B, 6404,116,2019,COVID-19 REAL ID Relief Act of 2020,House,"Smith, Christopher H. ",R,NJ,4,3/26/20,1,House - Oversight and Reform,3/26/20,Referred to the House Committee on Oversight and Reform.
H,B, 6231,116,2019,Ensuring Access to COVID-19 Preventive Care Act of 2020,House,"Bucshon, Larry ",R,IN,8,3/12/20,1,House - Energy and Commerce,3/12/20,Referred to the House Committee on Energy and Commerce.
H,B, 6402,116,2019,COVID-19 Workforce Emergency Response Act,House,"Levin, Andy ",D,MI,9,3/26/20,0,House - Education and Labor,3/26/20,Referred to the House Committee on Education and Labor.
H,B, 6315,116,2019,COVID-19 National Service Response Act,House,"Castro, Joaquin ",D,TX,20,3/23/20,1,House - Education and Labor,3/23/20,Referred to the House Committee on Education and Labor.
H,B, 6405,116,2019,Chinese Government COVID-19 Accountability Act,House,"Steube, W. Gregory ",R,FL,17,3/26/20,9,House - Foreign Affairs,4/3/20,"Referred to the Subcommittee on Asia, the Pacific and Nonproliferation."
H,B, 6615,116,2019,COVID-19 Oral History Project Act,House,"Bera, Ami ",D,CA,7,4/24/20,3,House - House Administration,4/24/20,Referred to the House Committee on House Administration.
H,B, 6205,116,2019,Assistance for Workers Harmed by COVID-19 Act,House,"DelBene, Suzan K. ",D,WA,1,3/11/20,0,House - Ways and Means,3/11/20,Referred to the House Committee on Ways and Means.
H,B, 6529,116,2019,COVID-19-Impacted Small Business Opportunity Zone Act,House,"Curtis, John R. ",R,UT,3,4/17/20,1,House - Ways and Means,4/17/20,Referred to the House Committee on Ways and Means.
H,B, 6367,116,2019,Entrepreneurial Development COVID-19 Response Act of 2020,House,"Schneider, Bradley Scott ",D,IL,10,3/23/20,0,House - Small Business,3/23/20,Referred to the House Committee on Small Business.
H,B, 6550,116,2019,Access to Credit for Small Businesses Impacted by the COVID-19 Crisis Act of 2020,House,"Sherman, Brad ",D,CA,30,4/17/20,30,House - Financial Services,4/17/20,Referred to the House Committee on Financial Services.
H,B, 6649,116,2019,Lower Drug Costs for Seniors During COVID-19 Act of 2020,House,"Schakowsky, Janice D. ",D,IL,9,5/1/20,1,"House - Energy and Commerce, Ways and Means",5/1/20,"Referred to the Committee on Energy and Commerce, and in addition to the Committee on Ways and Means, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned."
H,B, 6213,116,2019,No Cost for COVID-19 Testing Act,House,"Wilson, Frederica S. ",D,FL,24,3/11/20,17,"House - Energy and Commerce, Ways and Means, Education and Labor",3/11/20,"Referred to the Committee on Energy and Commerce, and in addition to the Committees on Ways and Means, and Education and Labor, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned."
H,B, 6591,116,2019,"To ensure that veterans receive timely and effective health care under the Veterans Community Care Program and Veterans Care Agreements during the COVID-19 emergency, and for other purposes.",House,"Pappas, Chris ",D,NH,1,4/21/20,1,House - Veterans' Affairs,4/21/20,Referred to the House Committee on Veterans' Affairs.
H,Res, 939,116,2019,Supporting the World Bank Group to lead a worldwide COVID-19 economic recovery effort.,House,"Boyle, Brendan F. ",D,PA,2,4/23/20,0,House - Financial Services,4/23/20,Referred to the House Committee on Financial Services.
H,B, 6222,116,2019,Ensuring Affordable COVID-19 Preventive Care Act of 2020,House,"Schakowsky, Janice D. ",D,IL,9,3/12/20,1,House - Energy and Commerce,3/12/20,Referred to the House Committee on Energy and Commerce.
H,Res, 908,116,2019,Condemning all forms of anti-Asian sentiment as related to COVID-19.,House,"Meng, Grace ",D,NY,6,3/25/20,145,House - Judiciary,3/25/20,Referred to the House Committee on the Judiciary.
H,B, 6429,116,2019,National Commission on COVID-19 Act,House,"Murphy, Stephanie N. ",D,FL,7,4/3/20,1,"House - Energy and Commerce, Financial Services, Transportation and Infrastructure",4/6/20,"Referred to the Subcommittee on Economic Development, Public Buildings, and Emergency Management."
H,B, 6414,116,2019,COVID-19 Correctional Facility Emergency Response Act of 2020,House,"Nadler, Jerrold ",D,NY,10,3/27/20,13,House - Judiciary,3/27/20,Referred to the House Committee on the Judiciary.
H,B, 6611,116,2019,"Making supplemental appropriations for fiscal year 2020 for the Department of Agriculture to respond to the COVID-19 pandemic, and for other purposes.",House,"Scott, Austin ",R,GA,8,4/23/20,31,"House - Appropriations, Budget",4/23/20,"Referred to the Committee on Appropriations, and in addition to the Committee on the Budget, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned."
H,B, 6507,116,2019,COVID-19 Employment Authorization Document Extension Act,House,"Meng, Grace ",D,NY,6,4/14/20,14,House - Judiciary,4/14/20,Referred to the House Committee on the Judiciary.
H,B, 6298,116,2019,COVID-19 WIC Response Act of 2020,House,"Thompson, Glenn ",R,PA,15,3/19/20,1,House - Education and Labor,3/19/20,Referred to the House Committee on Education and Labor.
H,B, 6502,116,2019,COVID-19 Graduate Relief Act,House,"Harder, Josh ",D,CA,10,4/14/20,12,House - Education and Labor,4/14/20,Referred to the House Committee on Education and Labor.
H,B, 6559,116,2019,COVID-19 Every Worker Protection Act of 2020,House,"Scott, Robert C. ""Bobby"" ",D,VA,3,4/21/20,72,"House - Education and Labor, Energy and Commerce",4/21/20,"Referred to the Committee on Education and Labor, and in addition to the Committee on Energy and Commerce, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned."
H,B, 6261,116,2019,"To provide for coverage of testing for COVID-19 at no cost sharing for Indians receiving health services through the Indian Health Service, and for other purposes.",House,"Ruiz, Raul ",D,CA,36,3/12/20,0,"House - Natural Resources, Energy and Commerce",4/1/20,Referred to the Subcommittee for Indigenous Peoples of the United States.
H,Res, 906,116,2019,Calling on the President to invoke the Defense Production Act to respond to COVID-19.,House,"Levin, Andy ",D,MI,9,3/23/20,103,House - Financial Services,3/23/20,Referred to the House Committee on Financial Services.
H,Res, 909,116,2019,Supporting an international investigation into the handling by the Government of the People's Republic of China of COVID-19 and the impact thereof on the people of the United States and other nations.,House,"Stefanik, Elise M. ",R,NY,21,3/25/20,11,House - Foreign Affairs,4/3/20,"Referred to the Subcommittee on Asia, the Pacific and Nonproliferation."
H,B, 6266,116,2019,"To require the Secretary of Transportation to require operators of cruise vessels or cruise lines to reimburse passengers for cancellation due to COVID-19, and for other purposes.",House,"Thompson, Mike ",D,CA,5,3/12/20,3,House - Transportation and Infrastructure,3/13/20,Referred to the Subcommittee on Coast Guard and Maritime Transportation.
H,B, 6445,116,2019,Food Assistance for Kids and Families During COVID-19 Act of 2020,House,"Hayes, Jahana ",D,CT,5,4/3/20,25,"House - Transportation and Infrastructure, Agriculture, Education and Labor, Budget",4/6/20,"Referred to the Subcommittee on Economic Development, Public Buildings, and Emergency Management."
H,B, 6263,116,2019,To amend title XVIII of the Social Security Act to waive cost sharing under the Medicare program for certain visits relating to testing for COVID-19.,House,"Sarbanes, John P. ",D,MD,3,3/12/20,2,"House - Energy and Commerce, Ways and Means",3/12/20,"Referred to the Committee on Energy and Commerce, and in addition to the Committee on Ways and Means, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned."
H,B, 6139,116,2019,COVID-19 Health Care Worker Protection Act of 2020,House,"Scott, Robert C. ""Bobby"" ",D,VA,3,3/9/20,49,"House - Education and Labor, Energy and Commerce, Ways and Means",3/10/20,Referred to the Subcommittee on Health.
H,Res, 897,116,2019,Expressing the sense of the House of Representatives that there should be a direct emergency economic stimulus for individual Americans in response to COVID-19.,House,"Gabbard, Tulsi ",D,HI,2,3/12/20,1,House - Ways and Means,3/12/20,Referred to the House Committee on Ways and Means.
H,B, 6410,116,2019,To direct the President to use authority under the Defense Production Act of 1950 to ensure an adequate supply of equipment necessary for limiting the spread of COVID-19.,House,"Larson, John B. ",D,CT,1,3/27/20,0,House - Financial Services,3/27/20,Referred to the House Committee on Financial Services.
H,B, 6244,116,2019,To amend titles XVIII and XIX to provide for coverage at no cost sharing of COVID-19 testing under the Medicaid program and Children's Health Insurance Program.,House,"Kelly, Robin L. ",D,IL,2,3/12/20,2,House - Energy and Commerce,3/12/20,Referred to the House Committee on Energy and Commerce.
H,B, 6333,116,2019,"To establish a Small Business Financial Assistance Program to support small businesses during the COVID-19 emergency, and for other purposes.",House,"Beatty, Joyce ",D,OH,3,3/23/20,1,"House - Small Business, Financial Services",3/23/20,"Referred to the Committee on Small Business, and in addition to the Committee on Financial Services, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned."
