Type_Chamber,Type_Bill,Type_Number,Congress,Date,Title,Chamber,Sponsor,Party,State,District,Date_Intro,Cosponsors,Committees,Date_Last,Last_Action
H,Con,177,104,1995,Expressing the sense of the Congress that family members and others should support all individuals affected by breast cancer.,House," Zeliff, William H",R,NH,1,5/10/96,2,House - Commerce,5/24/96,Referred to the Subcommittee on Health and Environment.
H,B,1303,111,2009,CAN DO Act of 2009,House," Rush, Bobby L",D,IL,1,3/4/09,9,House - Judiciary,3/16/09,"Referred to the Subcommittee on Crime, Terrorism, and Homeland Security."
H,B,3390,103,1993,Conflict Resolution and Mediation Act of 1993,House," Rush, Bobby L",D,IL,1,10/27/93,0,House - Education and Labor,11/17/93,"Referred to the Subcommittee on Elementary, Secondary and Vocational Education."
H,B,7115,110,2007,CAN DO Act of 2008,House," Rush, Bobby L",D,IL,1,9/26/08,6,House - Judiciary,9/28/08,Sponsor introductory remarks on measure.
H,B,1391,110,2007,Vaccines for the Future Act of 2007,House," Visclosky, Peter J",D,IN,1,3/7/07,44,"House - Energy and Commerce, Foreign Affairs, Financial Services",4/13/07,"Referred to the Subcommittee on Domestic and International Monetary Policy, Trade, and Technology."
H,Res,286,109,2005,Expressing the sense of the House of Representatives on promoting initiatives to develop an HIV vaccine.,House," Visclosky, Peter J",D,IN,1,5/18/05,27,House - International Relations,5/18/05,Referred to the House Committee on International Relations.
H,Con,168,102,1991,Expressing the sense of the Congress that a portion of Iraq's frozen assets be released to UNICEF for the sole purpose of providing medical and humanitarian assistance to Iraqi citizens.,House," Penny, Timothy J",D,MN,1,6/18/91,92,House - Foreign Affairs,12/2/91,Message on Senate action sent to the House.
H,J,648,98,1983,"A joint resolution making continuing appropriations for the fiscal year 1985, and for other purposes.",House," Whitten, Jamie L",D,MS,1,9/17/84,0,House - Appropriations,10/12/84,Became Public Law No: 98-473.
H,B,7542,96,1979,Supplemental Appropriations and Rescission Act of 1980,House," Whitten, Jamie L",D,MS,1,6/11/80,0,House - Appropriations | Senate - Appropriations,7/8/80,Public Law 96-304.
H,Con,421,107,2001,Recognizing the importance of inheritance rights of women in Africa.,House," Clayton, Eva M",D,NC,1,6/18/02,90,House - International Relations,7/23/02,Forwarded by Subcommittee to Full Committee.
H,B,3659,106,1999,Emergency Response Employees Disease Protection Act of 2000,House," Brady, Robert A",D,PA,1,2/15/00,5,House - Commerce,2/22/00,Referred to the Subcommittee on Health and Environment.
H,Con,118,113,2013,Expressing the sense of Congress that health workers deserve our profound gratitude and respect for their commitments and sacrifices in addressing the Ebola epidemic in West Africa.,House," Cicilline, David N",D,RI,1,11/14/14,12,"House - Foreign Affairs, Energy and Commerce",11/21/14,Referred to the Subcommittee on Health.
H,B,1132,105,1997,Indonesia Military Assistance Accountability Act,House," Kennedy, Patrick J",D,RI,1,3/19/97,40,House - International Relations,3/19/97,Referred to the House Committee on International Relations.
H,Con,102,107,2001,Hunger to Harvest: Decade of Support for Sub-Saharan Africa Resolution,House," Leach, James A",R,IA,1,4/4/01,155,House - International Relations,3/8/02,Message on Senate action sent to the House.
H,B,3519,106,1999,Global AIDS and Tuberculosis Relief Act of 2000,House," Leach, James A",R,IA,1,1/24/00,30,House - Banking and Financial Services | Senate - Foreign Relations,8/19/00,Became Public Law No: 106-264.
H,B,3975,107,2001,"To provide for acceptance of the Fourth Amendment to the Articles of Agreement of the International Monetary Fund, to provide for the Special Drawing Rights allocated to the United States pursuant to the amendment to be contributed to the Global Fund to Fight AIDS, Tuberculosis and Malaria, and to require the Secretary of the Treasury to seek negotiations for the purpose of inducing the other member countries of the International Monetary Fund to make similar contributions to that Global Fund, and for other purposes.",House," Leach, James A",R,IA,1,3/14/02,2,House - Financial Services,4/15/02,Referred to the Subcommittee on International Monetary Policy and Trade.
H,B,3719,114,2015,STOP ABUSE Act of 2015,House," Guinta, Frank C",R,NH,1,10/8/15,8,"House - Judiciary, Energy and Commerce",11/3/15,"Referred to the Subcommittee on Crime, Terrorism, Homeland Security, and Investigations."
H,Res,906,114,2015,"Supporting the goals and ideals of Red Ribbon Week during the period of October 23 through October 31, 2016.",House," Guinta, Frank C",R,NH,1,9/28/16,1,House - Energy and Commerce,9/28/16,Referred to the House Committee on Energy and Commerce.
H,B,4570,105,1997,Omnibus National Parks and Public Lands Act of 1998,House," Hansen, James V",R,UT,1,9/15/98,0,House - Resources,10/7/98,Motion to reconsider laid on the table Agreed to without objection.
H,Res,268,115,2017,Expressing the sense of the House of Representatives regarding the trafficking of illicit fentanyl into the United States from Mexico and China.,House," McKinley, David B",R,WV,1,4/6/17,4,"House - Foreign Affairs, Judiciary, Energy and Commerce",5/18/17,Referred to the Subcommittee on the Western Hemisphere.
H,Con,100,103,1993,"Many Neighbors, One Earth Resolution",House," Bereuter, Doug ",R,NE,1,5/12/93,159,House - Foreign Affairs,5/12/93,Referred to the House Committee on Foreign Affairs.
H,B,34,114,2015,21st Century Cures Act,House," Bonamici, Suzanne ",D,OR,1,1/6/15,7,"House - Science, Space, and Technology | Senate - Commerce, Science, and Transportation",12/13/16,Became Public Law No: 114-255.
H,B,229,103,1993,National Forest Health Act,House," LaRocco, Larry ",D,ID,1,1/5/93,20,"House - Agriculture, Natural Resources",8/21/94,Sponsor introductory remarks on measure. (CR E1794)
H,B,1290,109,2005,Hepatitis C Epidemic Control and Prevention Act,House," Wilson, Heather ",R,NM,1,3/14/05,38,House - Energy and Commerce,3/22/05,Referred to the Subcommittee on Health.
H,B,1522,106,1999,Community Protection and Hazardous Fuels Reduction Act of 1999,House," Chenoweth-Hage, Helen ",R,ID,1,4/22/99,8,"House - Agriculture, Resources",6/7/00,Sponsor introductory remarks on measure.
